method,family,horizon,policy,resolved_policy,threshold,cal_recall,cal_ppv,cal_fa_per_hour,recall,ppv,fa_per_hour,events_detected,events_eligible,auroc,average_precision,ece,gates_met,gates_total,failed_gates,recall_ci_low,recall_ci_high,ppv_ci_low,ppv_ci_high,fa_ci_low,fa_ci_high
lgbm_smote_3x,lightgbm,300,recall_first,recall_first,0.052415742713968,0.6615384615384615,0.1653846153846153,1.6856551009839462,0.6956521739130435,0.16,1.4655423088107007,16,23,0.8665841671989214,0.2094464719071291,0.004187610223863,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.470281862745098,0.8697010869565217,0.0743054121049369,0.2570376629647514,0.9689316800969994,2.0101887511284486
lgbm_smote_3x,lightgbm,300,fa_budget,max_recall_within_fa_budget,0.1607692307692307,0.3384615384615385,0.282051282051282,0.4350077679958571,0.391304347826087,0.3461538461538461,0.2965978482116894,9,23,0.8665841671989214,0.2094464719071291,0.004187610223863,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.15,0.6202380952380955,0.1996875,0.538888888888889,0.0763104365304057,0.5990828841042722
lgbm_jitter_3x,lightgbm,300,recall_first,recall_first,0.0473409117927756,0.6461538461538462,0.1423728813559322,1.965302951838426,0.7391304347826086,0.1666666666666666,1.482989241058447,17,23,0.8693004399971613,0.2146918068331977,0.0043655662657405,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.5,0.8930357142857144,0.0733825496941896,0.2627770239710539,1.000241538042994,2.059788839620675
lgbm_jitter_3x,lightgbm,300,fa_budget,max_recall_within_fa_budget,0.1607692307692307,0.3230769230769231,0.2625,0.4583117555670637,0.4347826086956521,0.3448275862068966,0.3314917127071823,10,23,0.8693004399971613,0.2146918068331977,0.0043655662657405,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.1713095238095238,0.7041666666666668,0.1996875,0.5417613636363636,0.0959121302380149,0.5992631137136905
catboost_plain,catboost,300,recall_first,recall_first,0.0484470748178708,0.6,0.1466165413533834,1.763335059554635,0.782608695652174,0.216867469879518,1.1340505961035183,18,23,0.8924623873394365,0.2621795890525138,0.0069425210326818,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.5554597701149425,0.923529411764706,0.1183086275816122,0.3151917808219178,0.6428405314142309,1.6894665643153333
catboost_plain,catboost,300,fa_budget,max_recall_within_fa_budget,0.164718514575795,0.3230769230769231,0.2658227848101265,0.4505437597099949,0.4782608695652174,0.5,0.1919162547252108,11,23,0.8924623873394365,0.2621795890525138,0.0069425210326818,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.2307142857142857,0.7779761904761905,0.356547619047619,0.7006818181818183,0.0539282499678539,0.3530058429109988
catboost_balanced,catboost,300,recall_first,recall_first,0.0356067146812212,0.5846153846153846,0.1024258760107816,2.586742620403936,0.8260869565217391,0.1347517730496454,2.1285257342250654,19,23,0.8546740827478532,0.2132900415981171,0.0059762230594606,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.6246527777777778,1.0,0.0591901171724932,0.2302300046232085,1.4175422515383709,3.020269221608001
catboost_balanced,catboost,300,fa_budget,max_recall_within_fa_budget,0.1504435751432569,0.2307692307692307,0.1973684210526315,0.4738477472812015,0.4347826086956521,0.3448275862068966,0.3314917127071823,10,23,0.8546740827478532,0.2132900415981171,0.0059762230594606,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.1713095238095238,0.7041666666666668,0.1949314024390244,0.5627232142857144,0.1071440023648395,0.6261938370975495
catboost_balanced_jitter,catboost,300,recall_first,recall_first,0.0351282051282051,0.6,0.1065573770491803,2.540134645261523,0.782608695652174,0.1285714285714285,2.1285257342250654,18,23,0.8735682350436448,0.2050229921024716,0.0047829825355137,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.5881845841784991,0.9131340579710144,0.0615625937406259,0.2117545871559633,1.3814819022292522,2.932738754281892
catboost_balanced_jitter,catboost,300,fa_budget,max_recall_within_fa_budget,0.1356410256410256,0.2769230769230769,0.225,0.4816157431382704,0.3478260869565217,0.2758620689655172,0.3663855772026752,8,23,0.8735682350436448,0.2050229921024716,0.0047829825355137,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.1033620689655172,0.6113095238095239,0.1173844537815126,0.4783733133433284,0.1221361555441669,0.7327458518246324
