feature,mean_abs_shap,nhóm,share_%,tương quan giá trị–SHAP
spo2_600_missing,0.0,SpO2,0.0,
etco2_60_slope,0.0,EtCO2/RR,0.0,
etco2_300_missing,0.0,EtCO2/RR,0.0,
spo2_current,0.0,SpO2,0.0,
rr_60_slope,0.0,EtCO2/RR,0.0,
rr_60_std,0.0,EtCO2/RR,0.0,
rr_60_missing,0.0,EtCO2/RR,0.0,
rr_60_max,0.0,EtCO2/RR,0.0,
rr_300_max,0.0,EtCO2/RR,0.0,
rr_600_slope,0.0,EtCO2/RR,0.0,
rr_300_missing,0.0,EtCO2/RR,0.0,
bt_ppv_d300,0.0,Beat (ART waveform),0.0,
bt_pp_d300,0.0,Beat (ART waveform),0.0,
bt_valid_frac_d300,0.0,Beat (ART waveform),0.0,
bt_valid_frac_cur,0.0,Beat (ART waveform),0.0,
peep_d300,0.0,Thở máy / CVP,0.0,
sex,0.0,Static,0.0,
