method,horizon,policy,resolved_policy,threshold,cal_recall,cal_fa_per_hour,recall,ppv,fa_per_hour,events_detected,events_eligible,auroc,average_precision,ece,gates_met,gates_total,failed_gates,recall_ci_low,recall_ci_high,ppv_ci_low,ppv_ci_high,fa_ci_low,fa_ci_high,family,description
lgbm_smote_3x,300,recall_first,recall_first,0.05241574271396809,0.6615384615384615,1.6856551009839462,0.6956521739130435,0.16,1.4655423088107007,16,23,0.8665841671989214,0.20944647190712914,0.004187610223863096,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.47028186274509803,0.8697010869565217,0.07430541210493699,0.2570376629647514,0.9689316800969994,2.0101887511284486,lightgbm,"LightGBM + SMOTE nội suy 5 láng giềng, 3x"
lgbm_smote_3x,300,fa_budget,max_recall_within_fa_budget,0.16076923076923078,0.3384615384615385,0.4350077679958571,0.391304347826087,0.34615384615384615,0.29659784821168944,9,23,0.8665841671989214,0.20944647190712914,0.004187610223863096,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.15,0.6202380952380955,0.19968750000000002,0.538888888888889,0.07631043653040578,0.5990828841042722,lightgbm,"LightGBM + SMOTE nội suy 5 láng giềng, 3x"
lgbm_jitter_3x,300,recall_first,recall_first,0.047340911792775685,0.6461538461538462,1.965302951838426,0.7391304347826086,0.16666666666666666,1.482989241058447,17,23,0.8693004399971613,0.2146918068331977,0.004365566265740575,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.5,0.8930357142857144,0.0733825496941896,0.2627770239710539,1.000241538042994,2.059788839620675,lightgbm,"LightGBM + nhiễu Gaussian trên window dương, 3x"
lgbm_jitter_3x,300,fa_budget,max_recall_within_fa_budget,0.16076923076923078,0.3230769230769231,0.45831175556706377,0.43478260869565216,0.3448275862068966,0.3314917127071823,10,23,0.8693004399971613,0.2146918068331977,0.004365566265740575,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.1713095238095238,0.7041666666666668,0.19968750000000002,0.5417613636363636,0.09591213023801491,0.5992631137136905,lightgbm,"LightGBM + nhiễu Gaussian trên window dương, 3x"
catboost_plain,300,recall_first,recall_first,0.0484470748178708,0.6,1.763335059554635,0.782608695652174,0.21686746987951808,1.1340505961035183,18,23,0.8924623873394365,0.2621795890525138,0.006942521032681832,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.5554597701149425,0.923529411764706,0.11830862758161226,0.31519178082191784,0.6428405314142309,1.6894665643153333,catboost,"CatBoost, không cân bằng lớp"
catboost_plain,300,fa_budget,max_recall_within_fa_budget,0.16471851457579503,0.3230769230769231,0.4505437597099949,0.4782608695652174,0.5,0.19191625472521082,11,23,0.8924623873394365,0.2621795890525138,0.006942521032681832,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.23071428571428573,0.7779761904761905,0.35654761904761906,0.7006818181818183,0.05392824996785393,0.35300584291099885,catboost,"CatBoost, không cân bằng lớp"
catboost_balanced,300,recall_first,recall_first,0.03560671468122123,0.5846153846153846,2.586742620403936,0.8260869565217391,0.1347517730496454,2.1285257342250654,19,23,0.8546740827478532,0.21329004159811715,0.005976223059460673,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.6246527777777778,1.0,0.05919011717249328,0.2302300046232085,1.4175422515383707,3.020269221608001,catboost,CatBoost + auto_class_weights='Balanced'
catboost_balanced,300,fa_budget,max_recall_within_fa_budget,0.15044357514325699,0.23076923076923078,0.4738477472812015,0.43478260869565216,0.3448275862068966,0.3314917127071823,10,23,0.8546740827478532,0.21329004159811715,0.005976223059460673,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.1713095238095238,0.7041666666666668,0.1949314024390244,0.5627232142857144,0.10714400236483959,0.6261938370975495,catboost,CatBoost + auto_class_weights='Balanced'
catboost_balanced_jitter,300,recall_first,recall_first,0.03512820512820513,0.6,2.540134645261523,0.782608695652174,0.12857142857142856,2.1285257342250654,18,23,0.8735682350436448,0.20502299210247166,0.004782982535513778,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.5881845841784991,0.9131340579710144,0.061562593740625934,0.21175458715596335,1.3814819022292522,2.932738754281892,catboost,CatBoost balanced + nhiễu Gaussian 3x
catboost_balanced_jitter,300,fa_budget,max_recall_within_fa_budget,0.13564102564102565,0.27692307692307694,0.4816157431382704,0.34782608695652173,0.27586206896551724,0.3663855772026752,8,23,0.8735682350436448,0.20502299210247166,0.004782982535513778,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.10336206896551724,0.6113095238095239,0.1173844537815126,0.4783733133433284,0.12213615554416694,0.7327458518246324,catboost,CatBoost balanced + nhiễu Gaussian 3x
tabm_20260917,300,recall_first,recall_first,0.03439593471586705,0.6307692307692307,2.633350595546349,0.6956521739130435,0.11188811188811189,2.2157603954637977,16,23,0.8654673195656802,0.2160568653548358,0.006650655555464923,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.4375,0.8751838235294118,0.047905515739816745,0.19061624649859946,1.375240989982766,3.1666628562846926,tabm,"TabM backbone E06 seed 20260917, calibrate lại"
tabm_20260917,300,fa_budget,max_recall_within_fa_budget,0.16981436789035792,0.23076923076923078,0.3728638011393061,0.2608695652173913,0.4,0.15702239022971792,6,23,0.8654673195656802,0.2160568653548358,0.006650655555464923,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.057030075187969924,0.5217908902691512,0.14241071428571428,0.6666666666666666,0.0503269659970563,0.318128799951771,tabm,"TabM backbone E06 seed 20260917, calibrate lại"
tabm_20260918,300,recall_first,recall_first,0.03606902435421944,0.6153846153846154,2.5634386328327294,0.6956521739130435,0.11940298507462686,2.0587380052340793,16,23,0.8645474061457669,0.2010524763451356,0.006473598613116665,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.4375,0.8751838235294118,0.0546965737514518,0.19811738385377003,1.2708218380704341,2.820482010146072,tabm,"TabM backbone E06 seed 20260918, calibrate lại"
tabm_20260918,300,fa_budget,max_recall_within_fa_budget,0.15381265059113497,0.26153846153846155,0.4816157431382704,0.30434782608695654,0.3888888888888889,0.19191625472521082,7,23,0.8645474061457669,0.2010524763451356,0.006473598613116665,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.06240808823529412,0.6128787878787884,0.2,0.6,0.049591273962221794,0.42486266767462544,tabm,"TabM backbone E06 seed 20260918, calibrate lại"
tabm_20260919,300,recall_first,recall_first,0.03680056944489479,0.6153846153846154,2.5479026411185917,0.7391304347826086,0.13178294573643412,1.954056411747601,17,23,0.878136753956426,0.2245863969272654,0.00677293228130699,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.5,0.9049689440993789,0.05797344744349353,0.22335754434630267,1.2010509220908314,2.714170403920004,tabm,"TabM backbone E06 seed 20260919, calibrate lại"
tabm_20260919,300,fa_budget,max_recall_within_fa_budget,0.15872276946902272,0.26153846153846155,0.442775763852926,0.2608695652173913,0.4,0.15702239022971792,6,23,0.878136753956426,0.2245863969272654,0.00677293228130699,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.057030075187969924,0.5217908902691512,0.18143939393939396,0.6,0.0600119324556455,0.3010514431030011,tabm,"TabM backbone E06 seed 20260919, calibrate lại"
ensemble_diverse_6,300,recall_first,recall_first,0.0667401033238077,0.6461538461538462,1.5613671672708442,0.6521739130434783,0.21428571428571427,0.959581273626054,15,23,0.8833785749769356,0.2338510495688004,0.0053270978162563215,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.35703781512605043,0.9048701298701299,0.10336206896551724,0.3334507042253521,0.4909259416776535,1.421199311924642,ensemble,Trung bình xác suất đã calibrate của 6 thành viên đa dạng
